Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	12:29:40	12:29:40	12:29:40			12:29:40	12:29:40	12:29:40	12:29:40	12:29:40	12:29:41	12:29:41	12:29:45	12:29:45	12:29:45	12:29:45	12:29:45	12:29:45			12:29:48	12:29:48		00:00:00		00:00:00	00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:07
1	12:29:48	12:29:48	12:29:48	12:29:48	12:29:48	12:29:48	12:29:48	12:29:48	12:29:48	12:29:48	12:29:48	12:29:48	12:29:52	12:29:52	12:29:52	12:29:52	12:29:52	12:29:52			12:29:53	12:29:53		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:01	00:00:05
2	12:29:53	12:29:53	12:29:53	12:29:53	12:29:53	12:29:53			12:29:53	12:29:53	12:29:53	12:29:53	12:29:57	12:29:57	12:29:57	12:29:57	12:29:57	12:29:57			12:29:58	12:29:58		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:01	00:00:04
3	12:29:58	12:29:58	12:29:58	12:29:58	12:29:58	12:29:58			12:29:58	12:29:58	12:29:58	12:29:58	12:30:01	12:30:01	12:30:01	12:30:01	12:30:01	12:30:01			12:30:03	12:30:03		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:01	00:00:04
4	12:30:03	12:30:03	12:30:03	12:30:03	12:30:03	12:30:03			12:30:03	12:30:03	12:30:03	12:30:03	12:30:06	12:30:06	12:30:06	12:30:06	12:30:06	12:30:06			12:30:07	12:30:07		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
5	12:30:07	12:30:07	12:30:07	12:30:07	12:30:07	12:30:07			12:30:07	12:30:07	12:30:07	12:30:07	12:30:10	12:30:10	12:30:10	12:30:10	12:30:10	12:30:10			12:30:11	12:30:11		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:01	00:00:04
6	12:30:12	12:30:12	12:30:12	12:30:12	12:30:12	12:30:12			12:30:12	12:30:12	12:30:12	12:30:12	12:30:15	12:30:15	12:30:15	12:30:15	12:30:15	12:30:15			12:30:16	12:30:16		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
7	12:30:16	12:30:16	12:30:16	12:30:16	12:30:16	12:30:16			12:30:16	12:30:16	12:30:16	12:30:16	12:30:19	12:30:19	12:30:19	12:30:19	12:30:19	12:30:19			12:30:20	12:30:20		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
8	12:30:20	12:30:20	12:30:20	12:30:20	12:30:20	12:30:20			12:30:20	12:30:20	12:30:20	12:30:20	12:30:23	12:30:23	12:30:23	12:30:23	12:30:23	12:30:23			12:30:24	12:30:24		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
9	12:30:24	12:30:24	12:30:24	12:30:24	12:30:24	12:30:24			12:30:24	12:30:24	12:30:24	12:30:24	12:30:28	12:30:28	12:30:28	12:30:28	12:30:28	12:30:28			12:30:28	12:30:28		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
10	12:30:29	12:30:29	12:30:29	12:30:29	12:30:29	12:30:29			12:30:29	12:30:29	12:30:29	12:30:29	12:30:32	12:30:32	12:30:32	12:30:32	12:30:32	12:30:32	12:30:32	12:30:32	12:30:33	12:30:33		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00	00:00:00	00:00:00	00:00:04
